TotalPop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
29381,-0.28453589,-0.10786972,0.339764447,-0.950207112,2.844491338,2.99969368,3.747591981,1.188693373,K0B,0.447918214,0.553567528,0.689170163,0.185736089,1.003012055,1.036294594,1.094343057,0.4302828,K0B,52
65751,-0.382849708,-0.166699145,0.304823893,-0.914051744,2.522334261,2.889233624,3.643123299,1.349698103,K0C,0.497010488,0.617209654,0.769033834,0.206664739,1.060476036,1.0495772,1.173809086,0.504819913,K0C,127
140144,-0.570184915,-0.709001675,-0.310893594,-0.667601513,2.09785649,1.834527343,2.563648818,1.850446683,K0A,0.427914312,0.428890028,0.599682685,0.326238087,1.018958186,0.983364221,1.214800029,0.794587877,K0A,211
61099,-0.390741507,-0.109006636,0.500289439,-0.928792756,2.556850358,3.00026187,4.053012324,1.294194668,K0E,0.446998156,0.663377307,0.686746114,0.216364809,0.968863932,1.165940155,0.990003081,0.50593297,K0E,117
60946,-0.437190105,-0.445726616,0.405891541,-0.9223679,2.4491353,2.33618285,3.842270206,1.29960949,K0G,0.380174726,0.461965005,0.70051086,0.224743929,0.923057474,1.094490241,1.106704397,0.51526366,K0G,104
14882,-0.415763393,-0.617619302,0.11754448,-0.481076676,2.31662411,1.920507996,3.297607848,2.465528827,K1E,0.574682572,0.361063702,0.702160663,0.272456914,0.827681987,0.819307249,1.214850636,0.727932042,K1E,30
42890,-0.348211928,-0.680568368,-0.105384222,-0.064586587,2.412240616,1.839356493,2.984122173,3.269410119,K1C,0.685926695,0.498360295,0.725688021,0.464448017,1.365018987,1.10915553,1.312585752,0.840197717,K1C,60
17503,0.116215078,-0.019680245,-0.173249983,0.052742986,3.356338913,3.190253099,2.75769868,3.330514769,K1B,0.677283743,0.773073036,0.763460876,0.562636451,1.342542124,1.25362378,1.601410668,1.099394995,K1B,32
25696,0.294035984,-0.091858139,0.260271764,0.279232249,3.500350249,2.962717933,3.492255604,3.645586862,K1J,0.957657264,0.857284307,1.002662356,1.016407255,1.336927603,1.440591733,1.416560806,1.141679903,K1J,43
30655,1.064628993,1.117731623,0.02734835,0.478034524,4.405969662,4.142064916,2.711825151,3.933681292,K1K,1.062541947,1.568940042,1.166384226,0.850257797,1.042171986,1.281739889,1.441229634,1.125039682,K1K,50
17107,2.053504964,0.785096899,0.090877321,-0.015806712,4.912667329,4.165195534,2.936692582,3.271584731,K1L,0.731927326,0.91429624,0.984165128,0.566483412,0.547722558,1.149212624,1.562491379,0.952311163,K1L,30
6562,0.700679268,-1.027773147,0.217073398,-0.418364896,3.992227979,1.262115209,3.351264858,2.701767754,K1M,1.015392683,0.461467173,1.194061268,0.297045999,1.441153384,0.43852901,1.315587029,0.854850414,K1M,13
21325,1.257725893,-0.192217591,0.149761015,-0.180513836,4.093130129,2.70926143,2.872403283,2.894958968,K1A,1.401900461,1.317429274,1.300345121,0.684335316,1.267458722,1.626395183,1.504116216,1.210171942,K1A,31
25148,2.146694668,0.155955845,-0.217721619,0.264213494,4.614402736,2.742683315,2.360704629,3.459797996,K1N,1.167471975,1.801197758,1.147903275,0.984992936,0.900056115,1.59955802,1.613703939,1.217714368,K1N,45
28759,0.838128745,-0.813327076,-0.440829506,-0.126762164,4.032894051,1.68288188,2.091553948,3.052296672,K1S,1.093655789,0.435797095,0.714370607,0.570129137,1.226243642,0.885483841,1.365612668,1.054630219,K1S,50
16997,2.388415068,-0.36831068,-0.464561703,-0.007170293,5,2.39495205,1.958463258,3.304583162,K1R,0.689511413,1.15892249,1.246741776,0.653088333,0,1.502488357,1.268993628,1.048260738,K1R,30
3795,2.131732531,-1.07079456,-0.301050943,-0.238207528,4.763636364,1.472727273,2.29828722,2.903820817,K1P,1.146491996,0.554172101,0.82451961,0.534000144,0.447213595,0.894427191,1.673320053,1.303840481,K1P,5
19950,0.951711112,-0.766261101,-0.419290732,-0.42513445,4.024912281,1.760350877,2.187017544,2.582756892,K1Y,1.322207931,0.700371069,0.79123221,0.434635596,1.193899839,1.253566341,1.360147051,1.076443291,K1Y,36
27904,0.600778382,0.073204387,-0.564339022,0.128483053,3.748638188,2.459217317,2.062392489,3.317696388,K1Z,1.162345405,1.844042883,0.756849057,0.924100264,1.410391357,1.737884609,1.379921569,1.296731071,K1Z,39
23028,0.519451049,-0.654465831,0.163270828,-0.310279798,3.571043946,1.967213827,3.070566267,2.873024145,K2A,1.160766085,0.417746867,1.229497373,0.272375725,1.494940964,0.899284227,1.321443196,0.712443512,K2A,33
47847,0.312734337,-0.469533497,-0.525183558,0.469088745,3.196041549,2.163374924,2.193052856,4.048299789,K2C,1.223521241,1.232960572,0.912983829,0.886026759,1.06147751,1.447828448,1.413886463,1.213552823,K2C,47
49508,-0.255386958,-0.434388715,-0.409536361,0.386853704,2.718267755,2.35697261,2.4577846,3.878544882,K2G,0.782188198,0.64769824,0.901899705,0.683339425,1.363971143,1.250448054,1.599018947,0.925048942,K2G,83
20480,0.586321642,-0.144794756,0.294383733,0.488502145,3.715136719,2.876708984,3.445849609,3.59375,K2E,1.069394212,0.784623427,1.071189417,1.062854194,1.321443196,1.446652353,1.620769552,1.092328622,K2E,33
56118,0.294829558,0.249726362,-0.300375365,0.843977167,3.513560711,2.901083431,2.454702591,3.884511209,K1V,0.947629602,1.388537265,1.139635476,1.259447914,1.348696871,1.540328666,1.632843196,1.148917645,K1V,83
40379,0.093574765,-0.319786943,-0.198536091,0.397303554,3.390376186,2.304539488,2.715990985,3.591619406,K2H,0.710840342,0.910339655,1.043152725,0.759123857,1.169765388,1.383636641,1.501624416,1.145450452,K2H,48
32621,1.244721078,0.729647278,0.214663369,0.805484848,4.53303087,3.814536648,2.894178597,3.678121456,K2B,1.095945653,1.553552693,1.132489628,1.182747027,0.91223456,1.150670158,1.456492533,1.213790293,K2B,42
71367,-0.514683074,-0.821940154,-0.960540853,0.53271818,2.183992602,1.525018566,1.428923732,4.20049883,K2J,0.370335672,0.421402591,0.702582359,0.616112122,0.87111683,0.904925395,1.224015876,0.944586035,K2J,79
52276,-0.280052765,-0.397834023,-0.956975759,0.944117219,2.564618563,2.298970847,1.436471804,4.766030301,K1T,0.676531932,0.901370367,0.50604945,0.886062804,1.134366249,1.506243263,0.982581022,0.720777025,K1T,37
17705,0.273120597,-0.285865664,0.330093622,0.092463535,3.19678057,2.483535724,3.579723242,3.324710534,K1H,1.124563961,0.834891104,0.76809577,0.653984298,1.425949976,1.311312407,1.006301982,0.973204211,K1H,30
35677,0.675253744,0.25462072,-0.054229694,0.600813876,3.664293522,3.167026376,2.748577515,3.961403705,K1G,1.076742574,1.289800854,0.977667797,1.014676711,1.136515141,1.503397513,1.361521758,1.292640076,K1G,49
10706,-0.554546335,-0.986907555,-0.920759381,0.213436157,2.144498412,1.185783673,1.409490006,3.697179152,K1W,0.578065145,0.366541902,0.732480844,0.437839223,1.341640786,0.674199862,1.445997611,0.820199532,K1W,11
2883,-0.042840865,-1.153320589,-0.885030925,0.406034218,3.616371835,1,1.575442248,3.616371835,K1X,0.475052088,0.070265583,0.972193801,0.795116097,1.414213562,0,2.121320344,1.414213562,K1X,2
59300,-0.424316105,-0.331956152,0.518435369,-0.918343223,2.473979764,2.509359191,3.849831366,1.333254637,K0H,0.400701188,0.660649363,0.891300282,0.255967751,0.918891717,1.216003369,1.054581351,0.613696486,K0H,99
135311,-0.393586264,-0.146577831,0.612268938,-0.872433089,2.533452565,2.894265802,4.007597313,1.467678164,K0K,0.466107128,0.658300866,0.861008205,0.242065137,1.00323112,1.116832271,1.017459075,0.587156111,K0K,228
97545,-0.357063392,-0.008696682,0.866808907,-0.924095441,2.651647957,3.164436927,4.385545133,1.361556205,K0L,0.415102215,0.740803906,0.784956614,0.235881466,0.911839936,1.248848538,0.843373896,0.5438522,K0L,158
40579,-0.376274395,0.055832422,0.757294383,-1.005485184,2.602528401,3.34172848,4.283521033,1.219892062,K0J,0.404206286,0.654886784,0.776778756,0.278263686,0.879820178,1.141707192,1.055574251,0.51862169,K0J,69
58898,-0.288930161,-0.057215236,1.168012293,-0.995719182,2.84131889,3.182264253,4.486519067,1.194471799,K0M,0.369806382,0.504725679,1.081863014,0.219677936,0.797070746,1.080236802,0.924413388,0.43502274,K0M,83
35970,-0.522675384,-0.838452855,-0.310567531,0.253837452,2.102668891,1.462274117,2.227773144,3.685515708,K2K,0.822467001,0.444338426,1.237435648,0.571392578,1.353148348,0.964226565,1.656297594,0.91731315,K2K,42
19085,-0.356182426,-0.498978616,-0.225722566,-0.23817756,2.646581085,2.128215876,2.654859838,3.073722819,K2L,0.395185148,0.522927713,0.610721684,0.353476837,0.939455032,1.143989563,1.179849759,0.983769806,K2L,33
29999,-0.559093779,-0.97322055,-0.784976135,0.155244272,2.166072202,1.312577086,1.700723357,3.607053568,K2M,0.449828013,0.525416113,0.995060829,0.515208989,1.050633449,0.983226256,1.518700633,0.906962317,K2M,32
16393,2.94480489,-0.781684186,-0.492380081,-0.2754514,4.803452693,1.816629049,2.162996401,2.954492771,K2P,1.296394819,0.809771829,0.83155492,0.410982156,0.999093792,1.293797914,1.531670491,0.850191794,K2P,24
1386,-0.459456226,-1.032087652,-0.145952169,-0.24888193,2.452380952,1,3.031746032,3,K2R,0.60465958,0.000741189,0.40599905,0.076909476,2.121320344,0,1.414213562,0,K2R,2
35014,-0.669152251,-1.068069887,-0.61373081,-0.187817097,1.871222939,1.174044668,1.790598046,3.137802022,K2S,0.454884415,0.342506783,1.242231802,0.391852849,1.017858554,0.617560832,1.456063227,1.017858554,K2S,37
11086,-0.15598087,-1.158013126,-0.136110584,0.856603222,2.432347104,1.074688797,1.925040592,4.34205304,K2T,1.21988375,0.232279295,2.036242269,0.80073499,1.5,0.333333333,1.691481928,1.166666667,K2T,9
11984,-0.148996603,-1.245027866,-1.059332788,0.396702657,3.266939252,1,1.192256342,4.027536716,K2V,0.336185124,0.219246732,0.31390725,0.504880669,1,0,0.447213595,0.707106781,K2V,5
10860,-1.066033435,-0.850735278,-0.904151457,0.459248732,1.40985267,1.156353591,1.454972376,3.925322284,K2W,0.366027781,0.173587301,0.424425673,0.681520321,0.506369684,0.43852901,0.869718493,1.182131929,K2W,13
57250,-0.578973449,-0.818855187,-0.925096442,0.194734369,2.062078603,1.547213974,1.518078603,3.746934498,K4A,0.480159023,0.309716122,0.567707123,0.488753735,1.137967407,0.704398369,1.013391223,0.851321614,K4A,71
19421,-0.428014131,-0.930037857,-0.94777062,0.22277069,2.469182843,1.310849081,1.55707739,3.511662633,K4B,0.430983965,0.274185256,0.562913923,0.802229529,1.060274967,0.618346942,0.937595311,1.392087819,K4B,18
5840,-0.640009833,-0.798908195,-0.184501638,-0.625798319,1.881849315,1.297260274,2.89640411,2.102054795,K4C,0.219110297,0.262877395,0.203552076,0.20129262,0.899735411,0.755928946,0.690065559,0.899735411,K4C,7
17027,-0.284384203,-0.476641387,-0.22268061,-0.560755418,2.731132907,2.218828919,2.485405532,2.136665296,K4K,0.645803137,0.643763969,0.92727062,0.200695289,1.38873015,1.325572653,1.410842369,0.669043382,K4K,21
14507,-0.568707344,-0.98430562,-0.108329585,-0.334517511,2.132901358,1.295857172,2.939132832,2.540842352,K4M,0.356564055,0.323610808,0.827372203,0.49234107,0.887041208,0.571240571,1.496487115,1.151657844,K4M,20
10992,-0.840858187,-0.983392227,-0.451116568,-0.44243338,1.374363173,1.202965793,2.129457787,2.588245997,K4P,0.262654515,0.3385182,0.569361507,0.26966415,0.776250026,0.767947648,1.391365314,0.854850414,K4P,13
